"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Appendix","Die Sprachform der Lyrik Christina Rossettis","000992625","Monograph","Language material ; Text","Volume","","","","Dubslaff, Friedrich","","person","","Dubslaff, Friedrich [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Studien zur Englischen Philologie","Heft 77 [Studien zur Englischen Philologie]","","Halle, Saale","","1933","","vi, 94 pages (8°)","","12981.f.77","","","German","",""
"Appendix","Four in Exile. (A. E. Housman, Leopardi, Christina Rossetti, Hans Andersen.)","003114239","Monograph","Language material ; Text","Volume","","","","Robb, Nesca Adeline","","person","","Robb, Nesca Adeline [person] ; Andersen, H. C. (Hans Christian), 1805-1875 [person] ; Housman, A. E. (Alfred Edward), 1859-1936 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Leopardi, Giacomo, 1798-1837 [person]","","","England","London","Hutchinson","1948","","158 pages (8°)","","11823.pp.39","","","","",""
"Appendix","Letters ; Rossetti Papers, 1862 to 1870. A compilation by W. M. Rossetti","003165610","Monograph","Language material ; Text","Volume","","","","Rossetti, William Michael","","person","","Rossetti, William Michael [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Sands","1903","","xxiii, 559 pages (8°)","","10855.cc.18","","","","",""
"Appendix","The Life of Christina Rossetti, etc [With plates, including portraits.]","003241752","Monograph","Language material ; Text","Volume","","","","Sandars, Mary F.","","person","","Sandars, Mary F. [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Hutchinson","1930","","291 pages (8°)","","2409.e.3","","","English","",""
"Appendix","The Rossettis, Dante, Gabriel and Christina ... Illustrated","000622816","Monograph","Language material ; Text","Volume","","","","Cary, Elisabeth Luther","","person","","Cary, Elisabeth Luther [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","London ; New York","G. P. Putnam's","1907","","xi, 310 pages (8°)","","10826.h.18","","","English","",""
"Appendix","Vers la Joie. Ames païennes. Ames chrétiennes. Les tristesses de l'âme païenne.-Christina Rossetti.-Eugénie de Guérin.-Sainte Catherine de Sienne","001206054","Monograph","Language material ; Text","Volume","","","","Faure, afterwards Goyau, Lucie Félix","","person","","Guérin, Eugénie de [person] ; Faure, afterwards Goyau, Lucie Félix [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","Paris","","1906","","xlvii, 279 pages (8°)","","012355.f.18","","","French","",""
"Appendix","Wonder and Whimsy. The fantastic world of Christina Rossetti","003551425","Monograph","Language material ; Text","Volume","","","","Swann, Thomas Burnett","","person","","Swann, Thomas Burnett [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","Francestown, New Hampshire","Marshall Jones","1960","","111 pages (8°)","","11879.a.27","","","","",""
"Ash Wednesday","","018937199","Monograph","Notated music","Volume","","","9780193524200","McDowall, Cecilia","","person","composer","McDowall, Cecilia, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","New horizons","NH226 [New horizons]","England","Oxford","Oxford University Press","2018","","1 score (15 pages), portraits, 26 cm","782.5251726","","Ash Wednesday music ; Anthems ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Music","English","Duration: 5 min. 30 sec ; For mixed voices (SATB) and organ ; Includes biographical note ; Words by Christina Rossetti",""
"Ave, Regina caelorum : SATB and electric guitar","","015892208","Monograph","Notated music","Volume","","","9780193375734","Jackson, Gabriel","1962-","person","","Jackson, Gabriel, 1962- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","New horizons ; Oxford contemporary repertoire","NH79 [New horizons]","England","Oxford ; Tewkesbury","Goodmusic ; Oxford University Press ; under exclusive licence","2011","","1 score (20 pages) + 1 part (9 pages), portraits, 30 cm","782.526","G.531.dd. (1.)","Motets ; Choruses, Sacred (Mixed voices, 4 parts) with electric guitar ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English ; Latin","Words also printed separately, with English translation where appropriate, preceding score",""
"Be music, night","A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 9 for high voice and piano ; High flight ; In the garden ; Love ; Scholar's lament ; Songs (1909) ; Songs of Ben Jonson ; Songs of experience ; Spring sadness ; Sweet chance ; Tillie's allsorts","018156147","Monograph","Notated music","Volume","","","","","","","","Association of English Singers and Speakers [organisation] ; Lines, Marian, 1933- [person] ; Roe, Betty [person] ; Patchen, Kenneth, 1911-1972 [person] ; Betteridge, Michael, 1988- [person] ; Magee, John, 1922-1941 [person] ; Blunden, Edmund, 1896-1974 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blake, William, 1757-1827 [person] ; Sykes, John, 1909-1962 [person] ; Bush, Geoffrey [person] ; Wishart, Peter, 1921-1984 [person] ; Humphreys, Garry, writer [person] ; Bedford, David [person] ; Grant, Julian, 1960- [person] ; Swinburne, Algernon Charles, 1837-1909 [person] ; Jonson, Ben, approximately 1573-1637 [person] ; Pollard, Clive [person] ; Williams, Roderick [person] ; Hugh-Jones, Elaine, 1927- [person] ; Herbert, George, 1593-1633 [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; Reid, Christopher, 1949- [person] ; Hold, Trevor [person] ; Waddell, Helen, 1889-1965, translator [person] ; Davies, W. H. (William Henry), 1871-1940 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (59 pages), 30 cm","783.342","F.1946.b./9 ; H06/.17212","Blunden, Edmund, 1896-1974--Musical settings ; Herbert, George, 1593-1633--Musical settings ; Song cycles--Excerpts ; Patchen, Kenneth, 1911-1972--Musical settings ; Lines, Marian, 1933- ; Jonson, Ben, 1573?-1637--Musical settings ; Davies, W. H. (William Henry), 1871-1940--Musical settings ; Reid, Christopher, 1949---Musical settings ; Magee, John, 1922-1941--Musical settings ; Songs (High voice) with piano ; Blake, William, 1757-1827--Musical settings ; Swinburne, Algernon Charles, 1837-1909--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"Before and after summer","Collected songs : 54 songs, including 8 cycles or sets ; Earth and air and rain ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; Till earth outwears ; To a poet","015116180","Monograph","Notated music","Volume","","","9781423456773","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","Medium,low voice","1 score (224 pages), 31 cm","783.542 ; 783.547","G.1395.b. (2.) ; H06/.10301","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Songs (Medium voice) with piano ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (Low voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Some songs are in their original keys and some have been transposed by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"Before the paling of the stars : carol for mixed voices and organ","","018096838","Monograph","Notated music","Volume","","","","Hemingway, Roger","","person","composer","Hemingway, Roger, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Matfield","Encore Publications","2013","","1 score (12 pages), 26 cm","782.5281723","F.1147.x. (25.)","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Chorus: SATB ; Words: Christina Rossetti",""
"Before the paling of the stars","","013456063","Monograph","Notated music","Volume","","","","Hare, Ian","","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Hare, Ian [person]","Eboracum choral series","443 [Eboracum choral series]","England","Sand Hutton","Banks Music","2004","","1 score (7 pages), 26 cm","782.5281723","F.1874.x./443","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Caption title ; For mixed voices (SATB) and organ",""
"Before the paling of the stars","","016424173","Monograph","Notated music","Volume","","","9780193396951","McDowall, Cecilia","","person","composer","McDowall, Cecilia, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","New horizons","NH118 [New horizons]","England","Oxford","Oxford University Press","2013","","1 score (8 pages), 26 cm","782.5281723","E.904.zz. (22.)","Carols, English ; Christmas music ; Choruses, Sacred (Mixed voices, 4 parts) with organ ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","For mixed voices (SATB) and organ ; Words by Christina Rossetti",""
"Bible","The Bible and the poetry of Christina Rossetti : a concordance","009400324","Monograph","Language material ; Text","Volume","GB8006537","","9780313211966","Jiménez, Nilda","","person","","Jiménez, Nilda [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London ; Westport, Connecticut","Greenwood","1979","","xv, 258, 1 page, 25 cm","821.8","X.200/19164","Christian poetry, English--19th century--Concordances ; Bible ; Rossetti, Christina Georgina, 1830-1894--Religion ; Poetry in English--Rossetti, Christina--Poetry influenced by Bible ; Rossetti, Christina Georgina, 1830-1894--Concordances","","English","",""
"Bible.Revelation. English","The Face of the Deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti [With the text.]","000341016","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","S.P.C.K","1892","","552 pages (8°)","","03187.k.12","","","English","",""
"Bible.Revelation. English","The Face of the Deep: a devotional commentary on the Apocalypse. By the late Christina G. Rossetti [With the text.] Third edition","000341023","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Society for Promoting Christian Knowledge","1895","","552 pages (8°)","","3188.b.27","","","English","Previous edition 1893",""
"Bible.Revelation. English","The face of the deep: a devotional commentary on the Apocalypse. By Christina G. Rossetti ... Second edition, etc","000341018","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","Brighton ; London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1893","","552 pages, 22 cm","","1560/1051","","","English","With the text. Earlier edition 1892",""
"Bible.Selections. English","Called to be Saints: the minor festivals devotionally studied, by Christina G. Rossetti [Extracts from the Bible, with 'biographical additions,' etc.]","000317243","Monograph","Language material ; Text","Volume","","","","","","","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","S.P.C.K","1881","","xix, 519 pages (8°)","","4823.cc.5","","","English","",""
"Blessed are the eyes","O Lord, seek us ; Two anthems of meditation : for SATB choir, (with optional organ)","014463587","Monograph","Notated music","Volume","","","","Bullard, Alan","1947-","person","composer","Rossetti, Christina Georgina, 1830-1894 [person] ; Bullard, Alan, 1947- [person] ; Studdert Kennedy, Geoffrey Anketell, 1883-1929 [person] ; Bullard, Alan, 1947-, composer [person]","Colne Edition church music series","","England","Colchester, Essex ; Colne ; Laggan Bridge, Scottish Highlands","Music ; sole selling agents Spartan Press","2006","Revised edition","1 condensed score (4 unnumbered pages), 25 cm","782.525","","Choruses, Sacred (Mixed voices) with organ ; Studdert Kennedy, Geoffrey Anketell, 1883-1929--Musical settings ; Choruses, Sacred (Mixed voices), Unaccompanied ; Anthems ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Caption title",""
